41,Среда 27.03.2024,18:00-19:30,"Анатомия животных (лекция), аудитория 1, Анатомический корпус (доц. Кумиров С.Г.)","Анатомия животных (лекция), аудитория 1, Анатомический корпус (доц. Кумиров С.Г.)","Анатомия животных (лекция), аудитория 1, Анатомический корпус (доц. Кумиров С.Г.)","Анатомия животных (лекция), аудитория 1, Анатомический корпус (доц. Кумиров С.Г.)",2024-03-27,27032024
42,Среда 27.03.2024,19:45-21:15,"Анатомия животных (лекция), аудитория 1, Анатомический корпус (доц. Кумиров С.Г.)","Анатомия животных (лекция), аудитория 1, Анатомический корпус (доц. Кумиров С.Г.)","Анатомия животных (лекция), аудитория 1, Анатомический корпус (доц. Кумиров С.Г.)","Анатомия животных (лекция), аудитория 1, Анатомический корпус (доц. Кумиров С.Г.)",2024-03-27,27032024
43,Пятница 29.03.2024,18:00-19:30,Русский язык и культура речи ЗАЧЕТ (Дос524),Анатомия животных (Ан105),Русский язык и культура речи ЗАЧЕТ (Дос518),"Органическая, физическая и коллоидная химия (Гл402)",2024-03-29,29032024
44,Пятница 29.03.2024,19:45-21:15,Русский язык и культура речи ЗАЧЕТ (Дос524),Анатомия животных (Ан105),Русский язык и культура речи ЗАЧЕТ (Дос518),"Органическая, физическая и коллоидная химия (Гл402)",2024-03-29,29032024
45,Понедельник 01.04.2024,18:00-19:30,Анатомия животных (Ан105),Общая биология и экология (Дос521),Иностранный язык (Дос524),Анатомия животных (Ан102),2024-04-01,01042024
46,Понедельник 01.04.2024,19:45-21:15,Анатомия животных (Ан105),Общая биология и экология (Дос521),Иностранный язык (Дос524),Анатомия животных (Ан102),2024-04-01,01042024
47,Среда 03.04.2024,18:00-19:30,Иностранный язык (Дос524) (Нем./Англ.),Анатомия животных (Ан105),"Органическая, физическая и коллоидная химия (Гл402)",Русский язык и культура речи ЗАЧЕТ (Дос518),2024-04-03,03042024
48,Среда 03.04.2024,19:45-21:15,Иностранный язык (Дос524) (Нем./Англ.),Анатомия животных (Ан105),"Органическая, физическая и коллоидная химия (Гл402)",Русский язык и культура речи ЗАЧЕТ (Дос518),2024-04-03,03042024
49,Пятница 05.04.2024,18:00-19:30,"Философия (лекция), аудитория 1, Главный корпус (доц. Гаджиев Т.Г.) + 1 ФЗТА","Философия (лекция), аудитория 1, Главный корпус (доц. Гаджиев Т.Г.) + 1 ФЗТА","Философия (лекция), аудитория 1, Главный корпус (доц. Гаджиев Т.Г.) + 1 ФЗТА","Философия (лекция), аудитория 1, Главный корпус (доц. Гаджиев Т.Г.) + 1 ФЗТА",2024-04-05,05042024
50,Пятница 05.04.2024,19:45-21:15,"Философия (лекция), аудитория 1, Главный корпус (доц. Гаджиев Т.Г.) + 1 ФЗТА","Философия (лекция), аудитория 1, Главный корпус (доц. Гаджиев Т.Г.) + 1 ФЗТА","Философия (лекция), аудитория 1, Главный корпус (доц. Гаджиев Т.Г.) + 1 ФЗТА","Философия (лекция), аудитория 1, Главный корпус (доц. Гаджиев Т.Г.) + 1 ФЗТА",2024-04-05,05042024
51,Понедельник 08.04.2024,18:00-19:30,Философия (Гл247),"Органическая, физическая и коллоидная химия (Гл402)",Общая биология и экология ЗАЧЕТ (Дос420),Анатомия животных (Ан105),2024-04-08,08042024
52,Понедельник 08.04.2024,19:45-21:15,Философия (Гл247),"Органическая, физическая и коллоидная химия (Гл402)",Общая биология и экология ЗАЧЕТ (Дос420),Анатомия животных (Ан105),2024-04-08,08042024
53,Среда 10.04.2024,18:00-19:30,Общая биология и экология (Дос521),Философия (Гл247),Иностранный язык (Дос524),Иностранный язык (Дос518),2024-04-10,10042024
54,Среда 10.04.2024,19:45-21:15,Общая биология и экология (Дос521),Философия (Гл247),Иностранный язык (Дос524),Иностранный язык (Дос518),2024-04-10,10042024
55,Пятница 12.04.2024,18:00-19:30,"Органическая, физическая и коллоидная химия (Гл402)",Общая биология и экология (Дос521),Философия (Гл247),Иностранный язык (Дос524),2024-04-12,12042024
56,Пятница 12.04.2024,19:45-21:15,"Органическая, физическая и коллоидная химия (Гл402)",Общая биология и экология (Дос521),Философия (Гл247),Иностранный язык (Дос524),2024-04-12,12042024
57,Понедельник 15.04.2024,18:00-19:30,"История России (лекция), аудитория 1, Главный корпус (проф. Ларионова И.С.)","История России (лекция), аудитория 1, Главный корпус (проф. Ларионова И.С.)","История России (лекция), аудитория 1, Главный корпус (проф. Ларионова И.С.)","История России (лекция), аудитория 1, Главный корпус (проф. Ларионова И.С.)",2024-04-15,15042024
58,Понедельник 15.04.2024,19:45-21:15,"История России (лекция), аудитория 1, Главный корпус (проф. Ларионова И.С.)","История России (лекция), аудитория 1, Главный корпус (проф. Ларионова И.С.)","История России (лекция), аудитория 1, Главный корпус (проф. Ларионова И.С.)","История России (лекция), аудитория 1, Главный корпус (проф. Ларионова И.С.)",2024-04-15,15042024
59,Среда 17.04.2024,18:00-19:30,"Органическая, физическая и коллоидная химия (Гл402)",История России (Гл252),Иностранный язык (Дос524),Общая биология и экология ЗАЧЕТ (Дос521),2024-04-17,17042024
60,Среда 17.04.2024,19:45-21:15,"Органическая, физическая и коллоидная химия (Гл402)",История России (Гл252),Иностранный язык (Дос524),Общая биология и экология ЗАЧЕТ (Дос521),2024-04-17,17042024
61,Пятница 19.04.2024,18:00-19:30,Философия (Гл247),"Органическая, физическая и коллоидная химия (Гл402)",История России (Гл252),Анатомия животных ЗАЧЕТ (Ан105),2024-04-19,19042024
62,Пятница 19.04.2024,19:45-21:15,Философия (Гл247),"Органическая, физическая и коллоидная химия (Гл402)",История России (Гл252),Анатомия животных ЗАЧЕТ (Ан105),2024-04-19,19042024
64,Понедельник 22.04.2024,19:45-21:15,Анатомия животных ЗАЧЕТ (Ан105),Философия (Гл247),Иностранный язык (Дос524),История России (Гл252),2024-04-22,22042024
65,Среда 24.04.2024,18:00-19:30,Общая биология и экология ЗАЧЕТ (Дос521),Иностранный язык (Дос518),История России (Гл252),Философия (Гл247),2024-04-24,24042024
66,Среда 24.04.2024,19:45-21:15,Общая биология и экология ЗАЧЕТ (Дос521),Иностранный язык (Дос518),История России (Гл252),Философия (Гл247),2024-04-24,24042024
67,Пятница 26.04.2024,18:00-19:30,Иностранный язык (Дос524) (Нем./Англ.),Анатомия животных ЗАЧЕТ (Ан105),"Органическая, физическая и коллоидная химия (Гл402)",История России (Гл252),2024-04-26,26042024
68,Пятница 26.04.2024,19:45-21:15,Иностранный язык (Дос524) (Нем./Англ.),Анатомия животных ЗАЧЕТ (Ан105),"Органическая, физическая и коллоидная химия (Гл402)",История России (Гл252),2024-04-26,26042024
69,Пятница 03.05.2024,18:00-19:30,История России (Гл252),Философия (Гл247),Анатомия животных ЗАЧЕТ (Ан105),Иностранный язык (Дос524),2024-05-03,03052024
70,Пятница 03.05.2024,19:45-21:15,История России (Гл252),Философия (Гл247),Анатомия животных ЗАЧЕТ (Ан105),Иностранный язык (Дос524),2024-05-03,03052024
71,Понедельник 06.05.2024,18:00-19:30,История России (Гл252),Общая биология и экология ЗАЧЕТ (Дос521),Иностранный язык ЗАЧЕТ (Дос524),Философия (Гл247),2024-05-06,06052024
72,Понедельник 06.05.2024,19:45-21:15,История России (Гл252),Общая биология и экология ЗАЧЕТ (Дос521),Иностранный язык ЗАЧЕТ (Дос524),Философия (Гл247),2024-05-06,06052024
73,Среда 08.05.2024,18:00-19:30,"Органическая, физическая и коллоидная химия (Гл402)","Органическая, физическая и коллоидная химия (Гл406)",Философия (Гл247),История России (Гл252),2024-05-08,08052024
91,Пятница 31.05.2024,18:00-19:30,Философия (Гл247),Ветеринарная генетика (Гл304),История России (Гл252),"Органическая, физическая и коллоидная химия (Гл402)",2024-05-31,31052024
75,Понедельник 13.05.2024,18:00-19:30,"Ветеринарная генетика (лекция), аудитория 1, Главный корпус (доц. Мкртчян Г.В.)","Ветеринарная генетика (лекция), аудитория 1, Главный корпус (доц. Мкртчян Г.В.)","Ветеринарная генетика (лекция), аудитория 1, Главный корпус (доц. Мкртчян Г.В.)","Ветеринарная генетика (лекция), аудитория 1, Главный корпус (доц. Мкртчян Г.В.)",2024-05-13,13052024
76,Понедельник 13.05.2024,19:45-21:15,"Ветеринарная генетика (лекция), аудитория 1, Главный корпус (доц. Мкртчян Г.В.)","Ветеринарная генетика (лекция), аудитория 1, Главный корпус (доц. Мкртчян Г.В.)","Ветеринарная генетика (лекция), аудитория 1, Главный корпус (доц. Мкртчян Г.В.)","Ветеринарная генетика (лекция), аудитория 1, Главный корпус (доц. Мкртчян Г.В.)",2024-05-13,13052024
